漢字,ひらがな,english,español
性格,せいかく,personality,personalidad
長男,ちょうなん,eldest son,hijo mayor
長女,ちょうじょ,eldest daughter,hija mayor
末っ子,すえっこ,youngest child,hijo menor
一人っ子,ひとりっこ,only child,hijo unico
従兄弟,いとこ,cousin,primo
孫,まご,grandchild,nieto
そっくり,そっくり,exactly alike,la viva imagen
双子,ふたご,twins,gemelos
親戚,しんせき,relative,pariente
仲,なか,relationship,relación
夫婦,ふうふ,married couple,esposos
親友,しんゆう,close friend,amigo cercano
親しい友人,したしいゆうじん,close friend,amigo cercano
仲間,なかま,colleague;friend;companion,colega;amigo;compañero
相手,あいて,partner;rival,socio;rival
知り合い,しりあい,acquaintance,conocido
